"iteration","term","estimate","std_error"
44,"lag10",2.55214988688614,0.548131137270486
44,"lag11",2.01344472677335,0.499729574986916
44,"lag12",2.09275671188053,0.487000314015826
45,"lag1",5.20443024422533,0.539519264795136
45,"lag2",2.65022649081688,0.664841845065264
45,"lag3",4.67167188992054,0.646471722466014
45,"lag4",1.09973314077585,0.56781155146241
45,"lag5",0.749057365979551,0.531309853701094
45,"lag6",1.51159976201364,0.51906713764977
45,"lag7",1.7734855668419,0.55049132052924
45,"lag8",2.39835303214435,0.682875305961537
45,"lag9",0.76275731490763,0.657080409144871
45,"lag10",-0.367021695284213,0.572962994270211
45,"lag11",1.32740065303099,0.5298372787274
45,"lag12",0.29507652361389,0.520112274200604
46,"lag1",6.12555476035488,0.512850842986507
46,"lag2",0.690596198043562,0.585386111970758
46,"lag3",2.33260019712182,0.63140197967762
46,"lag4",1.91909315763203,0.579856594509306
46,"lag5",1.05285305240528,0.513357671421208
46,"lag6",0.989829272135352,0.510013810135065
46,"lag7",0.164086815902821,0.526546353933773
46,"lag8",0.73174992591622,0.60562381701567
46,"lag9",0.0197871327679945,0.641505612114981
46,"lag10",1.67257674018801,0.588536036158769
46,"lag11",1.05898959593607,0.51013362288962
46,"lag12",2.51390789858616,0.509614164981101
47,"lag1",5.64842155492323,0.563673135550102
47,"lag2",1.29999255973927,0.68584500354037
47,"lag3",3.15597453335749,0.655622811684221
47,"lag4",0.378250806481898,0.60568876029766
47,"lag5",1.74638716938217,0.556007160967742
47,"lag6",6.74471405174871,0.541350421026008
47,"lag7",6.40193268559626,0.576965386748176
47,"lag8",0.307784753227127,0.709695936388099
47,"lag9",0.926786536288612,0.673169194441063
47,"lag10",1.76355308582699,0.613722512074594
47,"lag11",0.368722400642648,0.552589744811083
47,"lag12",0.890179171486836,0.538314763528561
48,"lag1",8.43583117140517,0.58341461680838
48,"lag2",3.15604237684064,0.728529906687261
48,"lag3",5.31424738984946,0.728284515675538
48,"lag4",-1.1468311046929,0.644471575878537
48,"lag5",2.12645786691728,0.582127264648862
48,"lag6",7.17254504772826,0.568354842244464
48,"lag7",7.70884438317832,0.600478285295439
48,"lag8",2.60362895406673,0.746885087123488
48,"lag9",2.99589985905962,0.746132951756353
48,"lag10",1.82124336887056,0.650279057569776
48,"lag11",2.10408615797541,0.583118265069637
48,"lag12",1.13138643284784,0.575138809474175
49,"lag1",4.53138335209075,0.565543653505507
49,"lag2",2.73743797412215,0.688299328584289
49,"lag3",5.22945107336569,0.722934786297162
49,"lag4",1.15112295271298,0.620431849710233
49,"lag5",2.60010256671963,0.540085365123624
49,"lag6",6.8197639948527,0.53750501421823
49,"lag7",6.06428784193614,0.583003303578116
49,"lag8",1.84612759638604,0.705688673810685
49,"lag9",2.74296599669322,0.742777839530356
49,"lag10",1.91353335437301,0.623268675320593
49,"lag11",2.32316752724966,0.540422092366583
49,"lag12",2.75901559294319,0.539823419004805
50,"lag1",7.53491897025188,0.543294091970766
50,"lag2",1.05946739674844,0.64062883386863
50,"lag3",3.13295531078418,0.63208857553038
50,"lag4",1.30360699355571,0.568407725110091
50,"lag5",0.333454389356185,0.511887549448794
50,"lag6",-0.0222748919512598,0.51672345412958
50,"lag7",-0.478069803345797,0.551602672339435
50,"lag8",-0.800057586621594,0.655250055438158
50,"lag9",-0.65030091255538,0.652062734550332
50,"lag10",-0.166288677995625,0.582050449081666
50,"lag11",-0.659199549876249,0.517912029467816
50,"lag12",-2.09001276980884,0.524593580375314
